項目別, ,銷售量,,,,,銷售值 (千元),,,,, 
 , ,(0920010)果蔬汁 (千公升),(0920910)碳酸飲料 (千公升),(0920930)運動飲料 (千公升),(0920940)咖啡飲料 (千公升),(0920950)茶類飲料 (千公升),(0920010)果蔬汁,(0920910)碳酸飲料,(0920930)運動飲料,(0920940)咖啡飲料,(0920950)茶類飲料, 
 ,2月,"14,779","27,194","10,609","4,098",-,"555,438","624,104","234,832","170,682",-, 
 ,3月,"18,021","25,755","12,121","4,124",-,"593,692","625,874","255,047","171,543",-, 
 ,4月,"15,557","32,795","15,123","5,925",-,"568,199","726,738","335,128","247,092",-, 
 ,5月,"23,099","41,055","20,115","4,867",-,"741,714","890,822","464,874","202,446",-, 
 ,6月,"28,681","46,108","22,684","4,185",-,"931,574","894,072","536,657","174,239",-, 
 ,7月,"26,038","49,104","18,107","4,775",-,"796,879","992,477","399,455","196,334",-, 
 ,8月,"31,219","50,923","22,095","5,585",-,"962,362","1,063,771","504,552","229,633",-, 
 ,9月,"30,596","52,225","17,022","5,887",-,"897,468","1,358,946","395,802","243,112",-, 
 ,10月,"24,711","36,485","18,061","4,936",-,"754,002","771,389","429,575","203,941",-, 
 ,11月,"19,017","24,803","9,243","4,844",-,"637,608","520,511","187,543","200,052",-, 
 ,12月,"16,850","17,947","6,584","4,299",-,"593,071","381,990","132,586","177,662",-, 
1991年,1月,"15,651","17,097","8,010","4,500","8,525","545,133","376,682","194,166","186,357","213,117", 
 ,2月,"18,368","20,826","8,198","5,127","9,847","643,862","492,605","205,439","212,218","246,167", 
 ,3月,"23,660","30,555","13,542","5,856","10,817","778,685","660,136","295,101","242,721","270,414", 
 ,4月,"25,115","38,057","15,950","6,578","11,963","768,101","837,618","376,169","272,739","299,067", 
 ,5月,"30,862","45,048","21,266","7,767","14,469","929,889","937,200","512,255","321,844","361,726", 
 ,6月,"29,141","48,048","22,136","6,848","12,909","868,439","1,035,974","499,185","283,621","322,720", 
 ,7月,"28,306","44,948","20,547","7,424","13,737","875,987","1,019,071","529,969","307,655","343,423", 
 ,8月,"35,328","56,366","22,393","7,963","15,250","1,030,945","1,248,482","568,189","329,642","381,245", 
 ,9月,"26,829","43,665","18,513","6,623","12,478","792,188","914,172","455,282","274,334","311,944", 
 ,10月,"21,596","31,170","10,562","5,820","10,825","606,079","669,029","243,513","241,178","270,631", 
 ,11月,"17,036","18,926","9,534","5,399","10,106","471,496","389,205","207,049","223,695","252,652", 
 ,12月,"22,530","17,735","7,639","5,949","11,289","557,638","356,831","163,763","246,331","282,218", 
1992年,1月,"20,744","25,585","7,308","4,389","29,666","660,001","594,847","178,301","181,832","682,139", 
 ,2月,"14,158","18,851","6,627","3,714","24,913","546,016","440,670","162,443","153,917","572,833", 
 ,3月,"18,978","36,135","11,837","6,384","42,303","578,281","858,746","304,229","264,669","972,647", 
 ,4月,"22,250","29,420","12,148","6,179","41,547","616,007","610,271","273,537","255,556","955,327", 
 ,5月,"27,210","38,712","17,272","7,220","48,221","806,177","831,120","382,327","298,699","1,108,756", 
 ,6月,"26,362","37,080","22,885","7,294","47,385","773,284","814,586","537,199","302,025","1,089,402", 
 ,7月,"27,237","49,924","23,943","8,458","54,987","827,689","1,146,231","576,126","350,239","1,264,191", 
