"統計期","總指數","15.非酒精性飲料及材料",
"109年11月","98.44","99.43",
"109年12月","98.45","99.91",
"110年","100.00","100.00",
"110年1月","98.81","100.11",
"110年2月","99.29","98.59",
"110年3月","98.69","100.13",
"110年4月","99.35","100.43",
"110年5月","99.58","99.90",
"110年6月","99.77","100.45",
"110年7月","99.97","100.01",
"110年8月","100.55","99.09",
"110年9月","100.71","100.23",
"110年10月","101.00","99.85",
"110年11月","101.24","100.62",
"110年12月","101.04","100.58",
"111年","102.95","102.14",
"111年1月","101.61","99.10",
"111年2月","101.60","99.83",
"111年3月","101.92","100.55",
"111年4月","102.70","101.13",
"111年5月","102.96","102.52",
"111年6月","103.35","102.53",
"111年7月","103.32","102.33",
"111年8月","103.24","102.18",
"111年9月","103.49","102.58",
"111年10月","103.77","105.12",
"111年11月","103.62","104.12",
"111年12月","103.78","103.63",
"112年","105.51","105.08",
"112年1月","104.71","102.43",
"112年2月","104.06","103.71",
"112年3月","104.32","104.29",
"112年4月","105.11","105.87",
"112年5月","105.04","105.78",
"112年6月","105.16","105.32",
"112年7月","105.26","105.20",
"112年8月","105.85","104.94",
"112年9月","106.52","105.61",
"112年10月","106.92","105.62",
"112年11月","106.62","106.39",
"112年12月","106.58","105.81",
"113年1月","106.59","105.74",
"113年2月","107.26","105.65",
"113年3月","106.56","106.19",
"113年4月","107.15","106.08",
"113年5月","107.38","105.85",
"113年6月","107.71","106.52",
"113年7月","107.92","106.89",
"113年8月","108.35","105.93",
